--------- beginning of main
05-13 10:51:46.992 I/ReactNativeJS( 5250): Running "main" with {"rootTag":1,"initialProps":{},"fabric":true}
05-13 10:51:47.269 I/ReactNativeJS( 5250): '[analytics]', 'sync_started', { trigger: 'cold_start' }
05-13 10:51:47.271 I/ReactNativeJS( 5250): '[analytics]', 'health_platform_read_skipped', { trigger: 'foreground', reason: 'no_user' }
05-13 10:51:50.573 I/ReactNativeJS( 5250): '[analytics]', 'reading_persisted', { source: 'watch', tier: 'in_pattern' }
05-13 10:51:50.575 I/ReactNativeJS( 5250): '[analytics]', 'reading_persisted', { source: 'watch', tier: 'in_pattern' }
05-13 10:51:50.576 I/ReactNativeJS( 5250): '[analytics]', 'reading_persisted', { source: 'watch', tier: 'in_pattern' }
05-13 10:51:50.578 I/ReactNativeJS( 5250): '[analytics]', 'reading_persisted', { source: 'watch', tier: 'in_pattern' }
05-13 10:51:50.580 I/ReactNativeJS( 5250): '[analytics]', 'reading_persisted', { source: 'watch', tier: 'calm_concerned' }
05-13 10:51:50.581 I/ReactNativeJS( 5250): '[analytics]', 'reading_persisted', { source: 'watch', tier: 'in_pattern' }
05-13 10:51:50.583 I/ReactNativeJS( 5250): '[analytics]', 'reading_persisted', { source: 'watch', tier: 'in_pattern' }
05-13 10:51:50.584 I/ReactNativeJS( 5250): '[analytics]', 'reading_persisted', { source: 'watch', tier: 'in_pattern' }
05-13 10:51:50.586 I/ReactNativeJS( 5250): '[analytics]', 'reading_persisted', { source: 'watch', tier: 'in_pattern' }
05-13 10:51:50.682 I/ReactNativeJS( 5250): [ble-trace] backfillBPHistoryOlderThan enter anchorTs=1706519978 (DIR=1 walk-backward)
05-13 10:51:50.729 I/ReactNativeJS( 5250): '[analytics]', 'reading_sync_success', { duplicate: true }
05-13 10:51:50.762 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=ff ff ff ff listeners=1
05-13 10:51:50.763 I/ReactNativeJS( 5250): [ble-trace] backfillBPHistoryOlderThan returned 0 packet(s); first.ts=n/a last.ts=n/a
05-13 10:51:50.763 I/ReactNativeJS( 5250): '[analytics]', 'sync_completed', { trigger: 'cold_start',
05-13 10:51:50.763 I/ReactNativeJS( 5250):   batches: 4,
05-13 10:51:50.763 I/ReactNativeJS( 5250):   hitBatchCap: false,
05-13 10:51:50.763 I/ReactNativeJS( 5250):   pulled: 61 }
05-13 10:51:50.767 I/ReactNativeJS( 5250): [ble-trace] applyDeviceConfig skipped — dirty=false force=false sinceFlushMs=2921455 (debounce 3600000ms)
05-13 10:51:50.769 I/ReactNativeJS( 5250): [ble-trace] syncMultiVitals.hr enter cursor.hr=1778669100 days=[2026-05-13]
05-13 10:51:50.771 I/ReactNativeJS( 5250): [ble-trace] syncMultiVitals.spo2 enter cursor.spo2=2026-05-13 days=[2026-05-13]
05-13 10:51:50.779 I/ReactNativeJS( 5250): [ble-trace] syncMultiVitals.dayInfo enter cursor.sleep=2026-05-13 cursor.activity=2026-05-13 allDays=[2026-05-13]
05-13 10:51:50.859 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x15 payload[0..3]=00 18 05 00 listeners=3
05-13 10:51:50.859 I/ReactNativeJS( 5250): [ble-trace] readHRHistory index totalPackets=24 intervalMinutes=5 (returned to caller)
05-13 10:51:50.860 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x15 payload[0..3]=01 00 bf 03 listeners=3
05-13 10:51:50.860 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x15 payload[0..3]=02 4f 51 65 listeners=3
05-13 10:51:50.862 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x15 payload[0..3]=03 4a 4d 48 listeners=3
05-13 10:51:50.863 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x15 payload[0..3]=04 53 4a 4c listeners=3
05-13 10:51:50.864 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x15 payload[0..3]=05 43 46 47 listeners=3
05-13 10:51:50.866 I/ReactNativeJS( 5250): '[analytics]', 'reading_sync_success', { duplicate: true }
05-13 10:51:50.871 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x15 payload[0..3]=06 3f 37 3f listeners=3
05-13 10:51:50.872 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x15 payload[0..3]=07 44 43 49 listeners=3
05-13 10:51:50.908 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x15 payload[0..3]=08 40 48 59 listeners=3
05-13 10:51:50.908 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x15 payload[0..3]=09 3c 3e 4b listeners=3
05-13 10:51:50.909 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x15 payload[0..3]=0a 00 00 00 listeners=3
05-13 10:51:50.910 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x15 payload[0..3]=0b 52 4d 4d listeners=3
05-13 10:51:50.911 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x15 payload[0..3]=0c 00 00 00 listeners=3
05-13 10:51:50.912 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x15 payload[0..3]=0d 00 00 00 listeners=3
05-13 10:51:50.913 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x15 payload[0..3]=0e 00 00 00 listeners=3
05-13 10:51:50.913 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x15 payload[0..3]=0f 00 00 00 listeners=3
05-13 10:51:50.958 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x15 payload[0..3]=10 00 00 00 listeners=3
05-13 10:51:50.959 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x15 payload[0..3]=11 00 00 00 listeners=3
05-13 10:51:50.960 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x15 payload[0..3]=12 00 00 00 listeners=3
05-13 10:51:50.961 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x15 payload[0..3]=13 00 00 00 listeners=3
05-13 10:51:50.962 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x15 payload[0..3]=14 00 00 00 listeners=3
05-13 10:51:50.981 I/ReactNativeJS( 5250): '[analytics]', 'reading_sync_success', { duplicate: true }
05-13 10:51:51.005 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x15 payload[0..3]=15 00 00 00 listeners=3
05-13 10:51:51.006 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x15 payload[0..3]=16 00 00 00 listeners=3
05-13 10:51:51.009 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x15 payload[0..3]=17 00 00 00 listeners=3
